,user_id,business_id,text,date,compliment_count
308089,gxj0kHOiYzDvQGCvqoTU0Q,xJzJpTYC_1k_EE0AWTOPXw,The Hobbit in 3D was awesome :),2012-12-22 07:07:09,0
308141,dhzFU-vli6AoXk3gaoGM_w,v015pusDxymYrTi_l48t2w,Free movie night!!!,2012-08-24 01:15:02,0
308187,oFU9ITr5I5uIzxbY-q2uqA,TT4XW2WMG0PNyUIFBIINuA,"Get balcony ""seats"" if you don't want to be shoulder to shoulder with people fighting for a view.",2017-10-08 19:10:38,0
308280,o4G5jWyVFGbgtz0kvnxqJQ,Z96TEJDXyUhCerS-9QllXw,The social network for $3!,2011-01-23 06:20:43,0
308516,0tvCcnfJnSs55iB6mqPk3w,NdUuGRxEH0waBQbL6R7mmg,Decent selection of Asian food.,2013-11-17 18:15:01,0
308534,tC7MoM-Hes2cKl-s_4JIMg,CTiWs36A_sX3eahdqrYxUQ,Ushering the Gene Kelly Awards for outstanding High School Musical & actors!,2013-05-25 21:55:00,0
308641,GW8ituSUDPlQD4Ekb0vxFg,ZUyWD8Rs_JY_yzw-t6VTBg,Love the reclining seats and the self serve drink machines!,2014-07-17 00:52:46,0
308699,4wp4XI9AxKNqJima-xahlg,CTiWs36A_sX3eahdqrYxUQ,Million Dollar Quartet,2011-11-01 23:40:42,0
308715,vKsoRog51j2820WF8LV9YA,jOWS7K-2tNqOcHVBSygswg,What to expect when expecting.. With Mum n Sis,2012-05-29 21:22:00,0
308742,3r9BVzKJ7jA4SCDgjhBzZQ,BxKe9Xt_fN6qBzrTofHuEQ,Text BEST to 242424 for a free small popcorn,2014-01-15 00:35:48,1
308800,tCbEkK11lnqeaNVkhlurrQ,VOh-vGJlUJnaAb3tgPreQg,Be sure to get your parking pass validated for 4 hours of free parking,2017-01-06 14:49:52,0
308846,XYv2Ojlo2F1O5K-Bq-Y7sQ,nJUsNx-LKAZ0FHGm9mnmaw,"You have to pay an additional $1.25 with a ""premier movie ticket"" gift card because they have special seats that recline back",2015-07-14 04:11:10,0
308908,9W73B44Iw8WslrTNB2CdCg,OZzmKNnARCJHL7gDq2PZfQ,There is usually a big schedule at some venues and the public box office that gets updated when movies have gone rush.  Make sure you check it before spending time in line. Better find out your movie of interest is off sale before you get to the front of the line.,2013-01-31 18:37:26,0
308978,alTlRb9qMBX11pARX05Big,mnGV1Ln114T8EfO2QRW1eg,Chick flick time. Punishment for Paul loosing his wedding ring.,2012-08-10 22:55:19,0
309088,zzPvEodjvLPe-5NvV0U_cg,fZioXnBVf-KAsCFX-P2whg,Gonna watch a movie! :-),2010-10-21 02:18:35,0
309160,M9rRM6Eo5YbKLKMG5QiIPA,wxYpbaR3zQuMhgSbUym_xw,"""Ruby Sparks""",2012-08-10 04:28:45,0
309210,SbMSN-N7WGW3W8ayZYru0w,mBeZ3dQzUPV60Oa26k3qHw,The Rum Diary,2011-11-07 01:12:23,0
309365,3jX9ecmXpHi0CbbH_ZMerQ,nFjvwsbirK8gJtV2QKqhwA,Don't mind the hours they open 10 minutes for the first movie,2016-04-08 15:18:43,0
309394,RBZ_kMjowV0t6_nv2UKaDQ,wxYpbaR3zQuMhgSbUym_xw,Great spot for unique films,2012-04-29 19:45:42,0
309506,zzPvEodjvLPe-5NvV0U_cg,v015pusDxymYrTi_l48t2w,Paranormal Activity 2,2010-10-27 01:59:48,0
309509,gpH_2Noa2OpzDcMUXtaETw,yPRNwbXvumnl8Fdrkoouxg,"Cheap double features, great snack bar and nice digital quality movies.",2014-02-15 01:45:15,0
309838,e3H3UBU_GbObpz2JyNeWng,krCiaZqjU2CeOfwoJWctDg,$15 for large popcorn and large soda. 8.50 for large popcorn and 7.50 for regular- no smalls-$8 movie before 6,2017-05-02 03:44:11,0
309916,MyFtpeGsV4z3zvFBnfGIvw,73dPwH6vfycfRjuM9PGnbg,Grandmas got the baby. Movie night.,2012-06-01 01:23:09,0
310199,1cX-YceSQlzmJzIAkkz69w,p0iEUamJVp_QpaheE-Nz_g,Coronado Cafe has graveyard specials. The food is pretty decent. :),2011-10-10 21:56:28,0
310600,OXSJCjKtvZPf-YPDCXcWZg,uFoygm7v4t0hXe8VeWq-Rg,$6.80 tickets on Tuesdays!,2017-04-06 02:54:04,0
310626,vLUHU5KxoB_CzLSHLkwz-g,xJzJpTYC_1k_EE0AWTOPXw,Going to watch The Avengers!,2012-05-05 01:53:40,0
310657,cJh4F1zFNJb2wXCNT1uNWQ,-ipc5f0XiXwH3hbNnro54Q,Lion king with my little love!!,2011-09-27 19:01:08,0
310728,fEElH8y0NX6ekcjpDnEeAQ,dRDd9zMMH96jl_BlE2-jkA,"The power is out, the mall is being evacuated",2013-07-08 23:37:48,0
310761,zgV0ZroIF956gw4cul8MHA,ZU3ZU_wGF2S4CKavMEtI_w,"7pm on 8-9-14 showing of
Pulp Fiction!!!!! 
$5 gets you in and you also get a free Kettle One cocktail
(21+ over)
http://dtlv.com/2014/08/08/weekend-events-august-8/",2014-08-09 02:20:16,0
310778,y6To06jltp9_C0SHy48sSw,NdUuGRxEH0waBQbL6R7mmg,Not my day for blackjack but did well playing bingo.,2017-07-24 03:15:04,0
310920,9rmiyeuwFyF8fn-FLzCEcg,-ipc5f0XiXwH3hbNnro54Q,The vow,2012-02-18 06:10:48,0
311014,X6uquqCVglmUV7nOH-R1SA,BxKe9Xt_fN6qBzrTofHuEQ,Watching Thor! :),2011-05-09 03:23:45,0
311034,135DbbQnr3BEkQbBzZ9T1A,enVV_GttZ2UYT3cxArtNWQ,Better location--less crazy and expensive than the Waterfront.,2014-11-23 02:59:54,0
311100,Ov-0pRQxz5fTTElFE-WtTQ,mnGV1Ln114T8EfO2QRW1eg,Movie for one..,2012-06-23 20:17:51,0
311318,WRRmSbPJELttmr2z4p-KWw,ikTlMObBu3aI4xNmE9X4mA,The best theater for midnight showings!  It's never overrun with too many people.,2012-09-28 07:09:24,0
311392,2VABkVdFhHGMo7wAqfofGA,xJzJpTYC_1k_EE0AWTOPXw,They do Fandango mobile ticketing here. So convenient!,2012-09-28 05:12:03,0
311499,XAja3Ed6Fa_lwZl_7tb9aw,K1ekU1q26tNrImHrt3rr2A,I guess I need to check out the $5 Tuesdays.,2014-04-12 20:08:39,0
311512,Co7QP52iTvWZpf_ADYCNyA,yPRNwbXvumnl8Fdrkoouxg,Hope this place never closes. Its nice to bring the baby here!,2012-03-10 03:50:38,0
311592,lXxHzBtSqs7RC6dQnoTCWA,5c19hhJGZ630iCxo5egLuA,Les Miserables yeah with Heather,2012-12-30 18:32:12,0
311609,X-VOe5bzT9EJu_L_Bt0nLQ,dwogRZ8Vdu7Pd4qSN0UwXg,"If you live in Toronto and you want to see a new release on a weekend and know your home theatre will be full, come here. You'll get good seats. It's spacious and clean.",2016-03-15 22:34:29,0
311613,oBgay1e7NMgeV4MDjYe5gA,h6Y1-KfN2XBkcrV85CS8yg,"Love this theater! Glass of wine and comfy chairs, you can't beat it!",2013-01-19 23:00:28,0
311716,PaUcJDgJX3pEbCIFX0R5fw,MM8n7SPaIuMlDGbUM5SZhA,Love the new look and service!,2012-04-13 19:00:07,0
311797,BdxiXC9CCSlQ-vsz1obQ5Q,D96gPj6zUPLJDfnWh9Jiaw,"Decent place to see a movie.  Bring a pillow to sit on, the seats leave much to be desired.",2013-07-04 20:54:25,0
311812,vWP8-aQX0rYJszqkWVL7Ew,p0iEUamJVp_QpaheE-Nz_g,"There may be a ""BEAT THE HEAT"" cheering section LOL",2012-06-06 00:30:03,0
311901,SAWkTZbP79ildfrDsiqUrQ,fZioXnBVf-KAsCFX-P2whg,Yay! Free Popcorn with Regal card today.,2014-03-08 21:49:54,0
311907,jHX2qMpRIg-W32vJgi50lw,UGBIdjPNmLviPOTwVwEr8w,Watching The Guard,2011-08-29 23:09:52,0
312099,I3ryn4tf6L9YbuZ8ZC4IoQ,iXbjlUTqxlurMNAy58lYnQ,"Come early, we came 10 min before our movie and have been waiting at the concession stand for 15 min after the movie has started. Have your order ready people!",2016-07-16 19:36:07,0
312423,7e9ReRfPBmfgchYNkbk93g,B6YIrpQnwKPidH0Vlh9f9Q,The Bourne Legacy,2012-08-18 23:16:56,0
312474,-hPjbauje3BkwVu14HIUbA,h6Y1-KfN2XBkcrV85CS8yg,They do not have recliners. The choice is between a normal seat with a swing in table or an office chair that reclines but you sit at a bar.,2014-07-08 20:35:05,1
312527,jKx0XOTrnT6gHiiRZ-UVKg,hhoKM8RdfYo97Y72LqmOgw,Dig late night movies,2012-02-02 03:45:47,0
312555,zpnDr3EBaVU8QPNHE3eDbg,-ipc5f0XiXwH3hbNnro54Q,The Conjuring. Eeek!,2013-07-23 19:06:27,0
312572,o68A_3bAJTge-ioGXHdxKA,nvBhlpH8TWbCl70_30gqxg,Green hornet,2011-01-23 22:34:37,0
312671,EKfm8oev8zIwhiGRkSf4Pw,v015pusDxymYrTi_l48t2w,"Starburst, slurpees, popcorn, ranch sunflower seeds, and 6 pack of Stella for double feature horror movie date with April!",2011-09-05 04:49:32,0
312790,BwNVIl_5JNleJYFVcnrFPQ,h6Y1-KfN2XBkcrV85CS8yg,"Great service, great fun!  This is the way to enjoy a movie.  Assigned seats and bar service!",2013-07-03 02:08:19,0
312797,ZfZCj9pT54yYSRwlzr4CKQ,BxKe9Xt_fN6qBzrTofHuEQ,"gucci mane, spider mane, super mane lol",2012-07-07 05:23:49,0
312805,6MM9Yqn7UBM8tmpSHQHAAg,JSjMfBQ654qyfVdE1CY76w,Réserver son billet en ligne permet d'éviter les longues files.,2012-05-15 23:19:20,0
312990,RS5JztShXARj8kDJoDs0-g,Bn2EwVbG_z3KPVka6wOg6w,Now serving OMB!,2015-01-10 00:39:11,0
313100,NsegE9Mqm3GCQeSx0v0tYw,Q3G58vv1ClvH4re9QBsVgQ,Magic Mike! Woot!,2012-06-30 05:54:38,0
313101,Gf8Jew6GZHKCk2F6kPZh5Q,6KL0lRKtgTof-NoFuiXwdA,Gray shoes during the Weeks and great dance party in the nights,2013-01-14 20:31:53,0
313359,JLv2Dmfj73-I0d9N41tz1A,w4SY_FlZnIfAb8UjDABPsQ,buy your movie pass from costco...best bang for your buck,2018-02-12 17:47:26,0
313500,RUZdkgTIUDZViTBXeCbrjg,ZJKvmjBinGXEagy7l1na7Q,BRAVE!,2012-06-24 16:47:22,0
313551,qRWzBX1q07ZuPgaTXB_4JA,0rRLSX5rotp1_wiShc0jNw,Picking up movie tickets for tonight!!!!,2011-08-18 17:35:44,0
313635,0bwmSWsi5WZfcDu61ZMGhg,F2DJHnTwMgzgGcl1lX8Q0A,$5 movies,2011-07-06 02:48:37,0
313651,6ZC-0LfOAGwaFc5XPke74w,0QzCeORfF8EY34UODWRV9A,Love to play here & win here,2014-02-14 18:50:55,0
313707,H3wPBzQCKCKiHcV7GZK4kg,Tb-hJmtCZhjVcRzTZicNpw,Doctor Who screening tonight!,2011-04-02 02:37:41,0
313772,vnfzCOi1ldx8lDMar1lh_A,zoODlH40edpJYLPLkHilNA,Always books hours in advanced (or even a day) to ensure the seats in the back!,2013-06-23 23:19:24,0
313922,QiyvjCMCGhqscz26JcfEkw,VOh-vGJlUJnaAb3tgPreQg,Don't expect better quality bathrooms then Circle K.,2012-07-06 02:09:19,0
313951,3j3Z5kRR9EEioodkEC9-1A,rUv5UqvD7d-HMV-Ib1jaTA,"Nice price, clean theatre, decent sound system.  4 stars for a nice place.",2017-01-23 03:32:36,0
314036,w1TjcJ6itK7LC_IY61NQIQ,1wiv2BvvauMj8hS16UuEYw,Time to watch a man fiddle a roof.,2011-03-30 02:32:12,0
314168,jRc1Okdayz97bUWApqE0Kw,dt-Q31GwfUDHxZwwPhIH4A,Dark Knight rises was so bad. Don't go see it.,2012-07-20 18:29:19,0
314351,C1bwG8PIulWxnj1_6OW9cQ,h6Y1-KfN2XBkcrV85CS8yg,Fyi - Groupons are no longer valid on Fridays and Saturdays after 5 PM,2015-04-05 04:52:26,0
314386,PWTZ6FUgMuF5Crls73da8g,K1ekU1q26tNrImHrt3rr2A,Price change alert: Tuesday special is now $5.25,2016-04-05 23:31:11,0
314394,vPCIxplN7Oz-NB48iUQNfg,w7oavNpCB9O0b3sE9fgK1Q,Seeeing my 1st TIFF Film of 2013  :-),2013-09-05 22:38:49,0
314395,5jDuMIgE97s5gkI7if1B3Q,dt-Q31GwfUDHxZwwPhIH4A,Watching Tron in 3d.,2011-01-01 22:59:07,0
314814,ww_JM5LOS2pYKLUVmfo4xA,CTiWs36A_sX3eahdqrYxUQ,Lion King',2013-09-08 01:37:53,0
314837,eZZyuJDouIg4p-GYB3PV_A,jobP3ywRd3QNZ_GCoPG2DQ,Dolby Sound specific theaters are great!  Lots of specials here for movie tickets :),2013-06-22 03:58:26,0
315096,TwilnpgwW43r9-O2AS4PDQ,imhibWA4C4M7drQSeZZU9g,Red Lights! Advance Screening!,2012-06-27 22:24:51,0
315244,kD9Gr2IxZQv0CNp5D-Bsjw,vnoEUVLjmEdk6XMR26G0QQ,Batman was AMAZING!!!,2012-07-21 05:56:06,0
315364,vIsEJsMbPGOVsSp04cc6EQ,F8FHXQBpMu1erLSTwUxYeQ,Wrath of the Titans 3D baby,2012-04-14 00:53:54,0
315540,_ir8NHMtV7KPTwmBmlkmQw,4RoTEeqB_MNn6yaqZmlZHg,WTF I've never watched a movie this early... Why are there so many people watching twilight at 11:30 AM??!?? Lmao,2011-11-20 19:36:42,0
315691,_ZT2GrSb31EJ81WV2XlFUw,ggY2BnHt7kyeGfFoMLFuGA,The place has long lines and a musty smell in the theater,2015-06-27 20:15:06,0
315720,wwdamcY73iJTyhl-3gGOJw,kPorLswaS8h4xy-notLk9Q,Free admission for adults on First Fridays!  Their events page has some pretty cool stuff.,2014-10-28 04:39:42,0
315722,rdysF0ymVkMX82Bu_8x3nA,BxKe9Xt_fN6qBzrTofHuEQ,Spaceballs... In the theater!,2012-02-05 07:29:53,0
315732,z4RytucxI_XfcMFaEI2DRg,q9wNJpZd1bx22PDpAbwZsA,The Vow!,2012-02-23 00:11:20,0
315787,ksYpOznbD-22wYpTiacHwA,p0iEUamJVp_QpaheE-Nz_g,It's a gamble!,2012-03-17 04:00:16,0
315904,CDvhiRiczAq0M5pktyiyog,zoODlH40edpJYLPLkHilNA,300,2014-03-10 01:42:36,0
315906,1W3_JUSkH5tsrIWdIXoK-w,enVV_GttZ2UYT3cxArtNWQ,Avengers.,2012-06-15 19:58:15,0
316006,mb_8jXannipO5T5V5kGXiQ,56CW9SrX9TGeJBF6mD6TYQ,Still no coffee,2013-07-26 22:56:36,0
316025,ohaY-5sMawogFQxrDhWdAw,px0VdZdyTaclveb1LfV6rA,"Double feature, salt and inception",2010-07-23 23:51:45,0
316065,ZfZCj9pT54yYSRwlzr4CKQ,pi1DHl64UzYXkVuSwvsUwg,the movie done turned off... its been like 20 mins of just sitting here with a blank screen... guess thats what $1.50 get you lol,2012-06-24 05:32:42,0
316328,IrhF89eewnB3NcXL2R8GZg,zoODlH40edpJYLPLkHilNA,LUCY,2014-08-20 06:02:52,0
316438,m5pVwzwwicHje7ij15Bwug,Q3G58vv1ClvH4re9QBsVgQ,Thor was ok. Not great.,2011-05-14 22:31:52,0
316439,Exa4ztuy4tHCMTn5gamQDQ,kPorLswaS8h4xy-notLk9Q,Van Gogh exhibition. Awesome,2012-02-26 23:02:59,0
316479,baJMjbstmvjjdn7kE6fbmw,AUoIpxBmIodtP30KXyk9xA,This theater is so rundown and they charge just as much as better ones. Watch out for broken seats and busted aisles.,2012-04-28 07:33:28,0
316483,_XcsG3krzuXLXaLDncBITQ,pi1DHl64UzYXkVuSwvsUwg,Sherlock Holmes,2012-03-05 06:37:40,0
316497,zgV0ZroIF956gw4cul8MHA,xJzJpTYC_1k_EE0AWTOPXw,"your weekly concession coupon can be scanned from your iPhone, it's is also valid for a bottled water instead of a fountain/frozen drink",2013-04-28 22:28:27,0
316596,KGQZvfuthc12iq7p_VzX-w,q9wNJpZd1bx22PDpAbwZsA,Theater seating is comfortable and clean,2012-07-09 21:22:05,0
316680,fiAZB5jSD_JMoq_BZbQoQw,nDmiX5v02FN0Gfam5RZ4vQ,"Buy your arcade card, this is a token-free classy kinda joint. $5 minimum. Cash, credit, whatever.",2016-03-10 08:33:49,0
316755,-Pip6s-Fe4d6W16mXocQ4w,QPHU1AE3Fpxjhfiinv2LZg,Ted time.,2012-07-01 02:51:53,0
316828,_pMzR6yoPbU98t-NH8TZ3w,nvBhlpH8TWbCl70_30gqxg,Seniors 62 and older pay just $6 before 6 p.m. on Wednesdays.,2017-01-04 02:51:57,0
316931,cdB_dIYHieklXNyvmrXweA,BxKe9Xt_fN6qBzrTofHuEQ,Love coming here especially on $5 Tuesday,2016-06-28 19:00:19,0
317040,qRWzBX1q07ZuPgaTXB_4JA,cPRXswksG5uHCOrask1Y7Q,Nutcracker Ballet,2012-12-24 01:50:23,0
317069,P6rpdRwuwC9cTgaNnU1JaA,x0dMACZ3NlDWTDyFAW0jHw,Refunds are only given in person per customer service.,2018-02-27 18:24:36,0
317070,1BjI1-O1gxSt8TRO0yD8Gg,TT4XW2WMG0PNyUIFBIINuA,I don't hate this place like everyone else...,2012-09-26 02:44:44,0
317076,FJ2yu9Pf5LIYcncoRKyzFQ,Y-krKDi4Yne5BTL9CbrI6A,Urban Tales,2014-12-10 23:46:56,0
317097,ASvjSBCYRd4GhOtSIn8Gyw,nvBhlpH8TWbCl70_30gqxg,Adult Tix: $10 Sun - Thurs then $10.50 Fri - Sat - special VIP room too! Awesome screening room!,2010-08-07 04:18:11,0
317314,CbmNBkKa9QKNxPiN_whFUw,CTiWs36A_sX3eahdqrYxUQ,"Piccolo Forno dinner, Tosca with Bruce. Our Italian themed spring evening",2012-03-31 02:13:27,0
317433,QZRpXDcZYrIqCNeH9tYGwQ,F8FHXQBpMu1erLSTwUxYeQ,"Get some Harkins cups, it's a great deal!",2014-06-21 02:31:32,0
317586,KtpmSnpGkfLuocvhrgv02w,rPqXbho0dwETvjUxW88Ttw,Luxury small theater. Assigned seating when purchasing ticket.,2017-07-30 02:33:27,0
317592,6Nk8WX1STMTEuKjmRlrh6A,O7EIj8Mee0mSMwmUpZ115Q,Best Santa Claus ever seen in Miracle on 34th St.,2014-12-23 20:07:37,0
317642,b_eoPMd72MLjrOTB9IkrYw,krCiaZqjU2CeOfwoJWctDg,Work team builder. Seeing Chronicle.,2012-02-14 17:38:16,0
317708,XCJ7LH6OlRRwUQeLrHKr4Q,ImU8asw-7e_9sZoDc2lzXA,Cheap prices and nice staff.  Great for kids.,2014-04-12 00:51:28,0
318066,I4BS0R9_OjJKOPjGCO4eSw,tKi4OvAlckcVzeP92InsOQ,I have a tip for the business...... Make sure to advertise your whole building and activities are reserved that day till a certain hour so people do not drive 20 mins or more  to your establishment only to have to wait a hour or more to enjoy your facilities.,2016-06-18 21:44:23,0
318090,DVyEHrFu1i5GXxv8edUWRg,jobP3ywRd3QNZ_GCoPG2DQ,The cabin in the woods...! Hmm this movie better be good :p,2012-04-27 04:37:08,0
318152,8HXpvdxGR_yBQuA_T23Cxw,pJQSdbrtQQVstMUUIICSsA,It's Magic Mike time!!,2012-06-30 00:59:38,0
318200,KfFTGloVpZoOzS9ogf8oWw,BxKe9Xt_fN6qBzrTofHuEQ,$5 dollar Tuesday and $7.50 new releases!,2013-07-31 05:38:55,0
318201,uBSMteq_cq9iT1MMGmXtvQ,CTiWs36A_sX3eahdqrYxUQ,Here for the nut cracker... beautiful interior !!,2014-12-07 21:50:48,0
318223,Xwnf20FKuikiHcSpcEbpKQ,0rRLSX5rotp1_wiShc0jNw,Awesome mall,2012-06-23 01:19:27,0
318376,8NPnK5h5Te91Ot6nbX9a5g,p0iEUamJVp_QpaheE-Nz_g,Sold out for Ted!!!,2012-07-04 03:54:34,0
318541,ZXae3RfkH1LnKX0UjXNj3Q,dwogRZ8Vdu7Pd4qSN0UwXg,They have new menu's for the VIP theatre. No more milkshakes :(,2017-02-18 04:48:48,0
318637,9mCHyzUP-DOUd21WWBpffw,tOhzbIoz_UHhzuXiGOEYgQ,"White House Down was action packed, yet filled with funny moments. Really liked it!",2013-07-29 01:14:22,0
318792,BbS3gs_iRr1JAXIbVmAWFw,BxKe9Xt_fN6qBzrTofHuEQ,Fourscore and......,2012-06-24 01:05:24,0
318811,6WfBop_XS1EgHU3F3ACqKA,tuIg103yDqCEcTk5J_h8ow,"Love this place. Great tap beer, unique films.",2017-05-13 04:58:05,0
318985,3yPrXlvbECGKHSZTy9usWA,p0iEUamJVp_QpaheE-Nz_g,My fav casino. I met my wife here. I love you.,2011-03-21 14:08:48,0
319041,sTcYq6goD1Fa2WS9MSkSvQ,MM8n7SPaIuMlDGbUM5SZhA,Theatres 1 through 5 are the ones with reclining seats,2012-06-28 00:21:06,0
319504,_Di-fXAFKwioKTd3CqHH8Q,a6dxvmopYI-kRwvc7OCt0Q,Here to see Brave!,2012-08-12 01:57:17,0
319636,wxeTtPILiMl1L-yBB-D2HA,RtXj1StQUbCMEmxRR10Bqg,Movies with my bro!,2012-04-26 00:39:50,0
319798,FeaOjUwDzX-AbDMcJk6lEg,BxKe9Xt_fN6qBzrTofHuEQ,Battle L.A. Let's see if our $21 goes to waste.,2011-03-12 06:07:03,0
320002,Ue_7yUlkEbX4AhnYdUfL7g,J0ufK7WAEq6oAdpDFz2xVA,Tuesdays are $6 movie ticket days.,2014-02-05 05:30:13,0
320012,nKWl2DdHbp6ZbQ12uqp1qQ,afqhAX425oLAbdpIP2hE8g,Apollo 18,2011-09-05 01:55:08,0
320030,zBi_JWB5uUdVuz3JLoAxGQ,nvBhlpH8TWbCl70_30gqxg,Buy tickets online and scan the barcode at the podium to avoid the line,2014-08-09 18:08:56,1
320220,X7zysG3Cja6G2blwDyE76Q,zoODlH40edpJYLPLkHilNA,Be sure to reserve seats in advance!! :),2015-02-18 00:25:14,0
320347,KF0inJKjEVQf3AmtJLlSIg,ECPrc5dUG4Ya26sTKTl_cQ,Go on Tuesday to save even more,2016-05-28 22:42:53,0
320470,RUZdkgTIUDZViTBXeCbrjg,Q3G58vv1ClvH4re9QBsVgQ,X men movie,2011-06-05 15:39:14,0
320480,NNEYB4AYC5B0WtGrepviEQ,rPqXbho0dwETvjUxW88Ttw,Great seats.  Great experience. Renovation successful.,2015-11-08 19:20:24,0
320753,Buz8BKojbFbU225S7PvjZA,TT4XW2WMG0PNyUIFBIINuA,Interpol!,2011-02-06 03:35:17,0
320774,VeHY3rZiBBhVIORWKbSYIA,MM8n7SPaIuMlDGbUM5SZhA,Make reservations early to get the best seats.,2012-09-16 18:47:46,1
320973,T7wGe2rsUtDfUrLYwU3d4w,jobP3ywRd3QNZ_GCoPG2DQ,$5 movie Mondays!!!!,2014-11-11 01:17:47,0
321031,2hyPOIjdK-nQZW6gDhqAng,jobP3ywRd3QNZ_GCoPG2DQ,"The Dictator is a silly, grossly offense and thought provoking film!*smirk",2012-06-16 05:12:47,0
321100,7e9ReRfPBmfgchYNkbk93g,B6YIrpQnwKPidH0Vlh9f9Q,Avengers!,2012-05-05 23:04:01,0
321251,5-ni6jRdBKI4I6ZVMpMIxQ,VfX7rhtX03yNg56ISz8gVQ,Not crowded at all during the afternoons.,2014-07-20 22:56:10,0
321298,-Biq3Dt8YhkRJEO_ITrvww,ZUyWD8Rs_JY_yzw-t6VTBg,"Clean theatre, good availability on seating last minute and reclining chairs!",2015-05-17 00:48:37,0
321381,VbfaQcyRqSZ0rGvhgg-3Fw,A0FLFsqkGK59l2WPhi93mg,Website says closed until further notice. :-(,2011-09-28 22:14:10,0
321523,w1WE83erjPJTysuAbjoRgA,2yC8986TR6Nxs5KVpGrKug,"If you're itching for a mini dance party with your fellow audience members, stick around for a few minutes after Mamma Mia ends. Running out the door to leave before the crowd leaves can wait!",2016-03-14 00:08:23,0
321718,m6D4nbyhkJC9N0i1brx-lQ,-ipc5f0XiXwH3hbNnro54Q,Limitless makes me want to take NZT. I have a deeper appreciation for my pharmacology class and adverse side effects.,2011-04-02 05:37:39,0
321770,fZY97UjlP-iv35beOl_OfQ,p0iEUamJVp_QpaheE-Nz_g,"USA BMX NATIONAL RACING Schedule:

FREE to Spectators!

Sunday, Jan 15, Racing starts at 8am.


Jan 2017",2017-01-15 04:22:24,0
321912,-gQm-IoK2_BMEMx9OgtQnw,p0iEUamJVp_QpaheE-Nz_g,"They now have Bath and Body Works shampoo, conditioner and cream in the rooms. We had coconut line veena. Yum!",2010-10-14 05:22:57,0
321922,KKLWlqtaspsWHYGQLfUl1w,cfggUk66F01Av4YWZJXcnA,21 and up After 10pm due to alcohol being served.,2017-08-21 07:22:43,0
321955,UkLiM2r9UcVXdx81JPGZyg,nCAqeub9ERwzSoQwGzr1QQ,12 Years As A Slave,2013-11-08 05:53:07,0
322147,yEJqcuknyIYxJmwC0qPpeA,zoODlH40edpJYLPLkHilNA,"Freaking awesome times a billion!! Absolutely love this theatre, the chairs the booze the whole coziness of it all. You definitely have to come to see a movie at this theatre at least one time it's totally worth it!! The whole booze thing is another story entirely and let me tell you they freaking nailed it.",2013-04-09 04:54:28,0
322151,rp007n5XVLGJwIOTh9U0-g,rZrbLOKfbCawyE13x4AW5w,Yelp promotion - check in at the Opera and receive a 50% off Tuesday night Operas!,2017-10-17 06:20:25,0
322181,KrT4LHYdRt-m1DMPtVKN4w,cqjqc8pd3SCxTDWiH49Q5Q,The Giver previews look good! Everyone needs to read the book before they watch it! I'm hoping they keep it PG so kids can compare the two!,2014-06-21 21:29:15,0
322290,DASkWfrV6kWHE_4xC7BkYQ,jobP3ywRd3QNZ_GCoPG2DQ,Rise.,2011-08-08 02:46:25,0
322343,WnwpWcNcJhHi39gdIUfJuQ,AKPLL7N4yTidQF7xY8kneg,"Late movie start AGAIN last night. Wtf guys, start the movie on time, please",2011-03-02 20:38:16,0
322376,TBEiWGQoVXCq5sYuOzeBkw,vDhifJNAtVFGjqJM5hFQkg,Time to grub,2011-07-08 22:12:37,0
322392,CZs1Eq7t1fqpXV1yox-CVg,nOidqR9yk6clKeXbuT_gZg,Every Tuesday is a deal! $5 a person!,2016-01-20 08:39:44,0
322404,3Apvsrrf4wJuG4NdwIfXwA,jobP3ywRd3QNZ_GCoPG2DQ,"The 'check in' offer is blazoned across a banner in the theater lobby for everyone.  Even those who don't 'check'.  

Still love the theater.  But an actual exclusive check in offer would be cooler.",2013-12-30 06:56:27,0
322438,W3W6ywndgEOM4mf_DgCb5g,hhoKM8RdfYo97Y72LqmOgw,Hunger Games,2012-04-18 02:06:21,0
322512,mIPlHNvX9wtIjhrfiF4ggA,p0iEUamJVp_QpaheE-Nz_g,Ice cream,2012-09-02 19:18:49,0
323205,9VLv4NZCIpX2JBTfAV-vSA,1wiv2BvvauMj8hS16UuEYw,Mamma Mia thanks to Yelp.,2011-05-18 01:41:22,0
323425,NsegE9Mqm3GCQeSx0v0tYw,wxYpbaR3zQuMhgSbUym_xw,watching fallen with ian :-),2010-10-10 05:02:23,0
323525,fnJxWINzX7JwpLkMg6_kbQ,pJQSdbrtQQVstMUUIICSsA,"Little fockers, night movie with wife on a date",2011-01-22 03:45:53,0
323557,oIxsWOWytMmV4bf_ffo01w,8nmjvYX4N67cxOsGfbEgjg,Definitely recommend getting a Groupon!!! Such a great deal!,2014-02-09 19:49:31,0
323733,SDRW_CpLymD9wgsqsH6F3w,2fqHO2vFbcwVV27c_Irm8Q,Very comfy seats & great sound with good old fashion buttery popcorn UMMM,2014-03-01 03:15:08,0
323787,dvgzLpLii0MOlR-X59MlGg,Q3G58vv1ClvH4re9QBsVgQ,Bridesmaids!,2011-05-15 04:36:28,0
323802,FJPueGAznNvqrZG8hrK7ZQ,CTiWs36A_sX3eahdqrYxUQ,"grinch, baby!",2011-11-25 18:33:21,0
